"species","ConsCodes","counts"
"Staurothele rufa","EN",16
"Strangospora deplanata","DD",8
"Swinscowia tagananae","DD",116
"Swinscowia muscicola","DD",2
"Tephromela pertusarioides","DD",28
"Thelocarpon magnussonii","DD",20
"Thelopsis isiaca","DD",18
"Toninia subfuscae","DD",20
"Trapeliopsis aeneofusca","DD",10
"Umbilicaria spodochroa","EN",2
"Verrucaria ochrostoma","DD",484
"Verrucaria knowlesiae","DD",2
"Verrucaria sandstedei","DD",16
"Verrucaria xyloxena","CR",12
"Verrucaria pachyderma","DD",94
